id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000227232	96.5131113768105	0.0513492377120766	0.201693377440147	0.254590598679001	0.79903932114265	0.900805245698091
ENSG00000278267	6.75159534582819	0.211971119636702	0.454201407641999	0.466689702123902	0.640721898481375	0.801326470241004
ENSG00000243485	0.285489136373206	-0.00254502372244735	0.205398801786542	-0.0123906454191113	0.990113948286802	NA
ENSG00000238009	3.9016243258239	0.849727518575661	0.460150790931009	1.84662839947842	0.0648010152986273	0.157255694232025
ENSG00000268903	94.6535238605061	0.16839908447539	0.218319423287215	0.771342659026032	0.440503853237383	0.642385693121003
ENSG00000269981	101.323511798456	0.252898833977028	0.209988189501763	1.20434789488437	0.228455142097611	0.415454849048454
ENSG00000239906	2.1843198202372	0.582588738561394	0.435581591153764	1.33749623582172	0.181060710154536	0.35059916171762
ENSG00000241860	44.9112373813442	0.312444357106786	0.262730078462634	1.18922187720209	0.234352367815927	0.422819106362473
ENSG00000279928	0.58344149112274	0.100683886822148	0.247128608284679	0.407414938808563	0.683703256792453	NA
ENSG00000279457	235.211154806239	0.0630853840637082	0.165869877854084	0.380330563209339	0.703700050932019	0.843865852477638
ENSG00000273874	0.452664482799089	0.073304853105511	0.268074938036125	0.273449109575595	0.78450800668377	NA
ENSG00000228463	16.4501095007606	0.0514815596081832	0.37066849645726	0.138888414041735	0.889538326485565	0.94708380964139
ENSG00000237094	13.4296819504446	0.584858600336108	0.389698586225682	1.50079733673297	0.133407987747588	0.279112203604783
ENSG00000250575	0.607376610848644	-0.00297082769500699	0.285646713554835	-0.0104003566434756	0.991701865605559	NA
ENSG00000230021	1.07142684279843	-0.0299193785234412	0.371282136728403	-0.0805839429472136	0.93577283634235	NA
ENSG00000235146	0.301656878082529	0.0909862937500506	0.198007742486583	0.45950876772516	0.645868857315293	NA
ENSG00000225972	13.6899317948703	-0.20173185856073	0.434502274405831	-0.464282629674591	0.642445267368898	0.802171100394999
ENSG00000225630	4204.78409668079	-0.0281467905395581	0.139649690565871	-0.201552831413412	0.840266323414949	0.922779542566158
ENSG00000276171	6.35386633283283	0.0905302960175317	0.45067673071105	0.200876348496401	0.840795261915329	0.92299194742173
ENSG00000237973	2920.7630707334	-0.111578766425688	0.350155630093653	-0.318654783291205	0.749988306157981	0.871741629840695
ENSG00000229344	67.7400753813037	-0.233471624672287	0.373481272072507	-0.625122709304045	0.531890524377711	0.718908275078611
ENSG00000240409	3.93386432059227	0.124536766599335	0.460001935558795	0.270730962138347	0.786597961459857	0.893147682850214
ENSG00000248527	15185.3701606592	-0.0207523565796255	0.0840956569751959	-0.246770847937444	0.805085572844707	0.904204493083513
ENSG00000198744	31.3784329913645	-0.176117560419702	0.322076122565068	-0.546819674234378	0.58450262514688	0.758794291286374
ENSG00000228327	173.143779991202	-0.0279886010591052	0.168174353773996	-0.166426095483727	0.867821639087274	0.937124575045771
ENSG00000237491	70.0995307778351	-0.151001222289025	0.221832414732309	-0.680699538303461	0.496061628545105	0.690342897658436
ENSG00000230092	39.4647247720861	0.327319891282303	0.271429400291333	1.2059117064363	0.227851536380837	0.41477880920018
ENSG00000177757	0.603313756165058	0.160796089435288	0.209952720246525	0.765868092809099	0.443754792853245	NA
ENSG00000228794	451.700873446322	0.263303956409067	0.109939500762189	2.39498955865392	0.0166208385770557	0.0505651026443422
ENSG00000225880	32.3063587613132	-0.0547693477291827	0.305857556679162	-0.17906815291353	0.8578841880866	0.931919158449337
ENSG00000230368	3.13412859603734	-1.1757119639089	0.428078069083757	-2.74648959808979	0.00602367961336813	0.0210388298013525
ENSG00000234711	0.669511529952973	-0.0231793305499482	0.290447125400638	-0.0798056806999728	0.93639180619269	NA
ENSG00000283040	1.08381377745493	-0.14808478532761	0.354300728640601	-0.417963535936799	0.675973777682953	NA
ENSG00000272438	35.7873428987863	-0.322484151604296	0.315981934962116	-1.02057781133266	0.307454506440109	0.510442610952707
ENSG00000230699	193.510633760888	-0.131171704814004	0.149272497671503	-0.878739934416234	0.379542300710251	0.584574187845698
ENSG00000241180	0.796328565548505	-0.0746869007123996	0.333716398120512	-0.223803508407245	0.82291019989777	NA
ENSG00000223764	2497.4165151177	0.422502761915325	0.133199464816032	3.17195540161413	0.00151416258170334	0.00618341491772901
ENSG00000187634	903.622297824497	1.00174586389922	0.136760133385456	7.32483830705117	2.39186929821166e-13	3.14426579878443e-12
ENSG00000188976	5493.68078614194	-0.0613968721107595	0.0725545097189887	-0.846217173109653	0.397431603466028	0.600666948451589
ENSG00000187961	511.259504610012	0.0726763110610101	0.143374332751624	0.506899036014429	0.612225662098429	0.779728100064918
ENSG00000187583	211.488431514464	0.108797463458474	0.168092070914047	0.647249229942007	0.517470654208401	0.70634948347603
ENSG00000187642	140.827234609681	0.203416284632899	0.264234164877239	0.769833396553413	0.441398726440977	0.643243529264291
ENSG00000272512	89.6311057382383	0.0345171123586512	0.23539510956765	0.146634789575913	0.883420292372664	0.944543772649626
ENSG00000188290	652.007058274701	-0.273766915390507	0.189621747067293	-1.44375273208169	0.148808542430345	0.303359829606801
ENSG00000187608	325.827986836767	0.190688864604219	0.383087139488506	0.497768901505869	0.618646937569706	0.784203234033124
ENSG00000188157	35115.5836842839	0.106080307025397	0.110545954827515	0.959603697764553	0.337254707304328	0.541298055142749
ENSG00000217801	140.142425568603	-0.531226157488612	0.172228026388413	-3.08443502853929	0.00203939148671549	0.00805427893616528
ENSG00000237330	732.081778730605	-0.426247900483937	0.100681034152555	-4.23364642677461	2.29932352153599e-05	0.000132982570773799
